title,price,rating,num_review,color,display
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)(8 GB RAM)","₹45,999",4.3,"7,441 Reviews",Olive,Yes
"SAMSUNG 10000 mAh Power Bank (25 W, Fast Charging)(Beige, Lithium-ion)","₹1,999",4.3,79 Reviews,2,Surge Damages and Battery Damages will Not Covered in Warranty
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)(4 GB RAM)","₹6,499",4.2,"2,690 Reviews",Opal Green,16.51 cm (6.5 inch)
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)(4 GB RAM)","₹9,199",4.3,"9,973 Reviews",Sunrise Copper,16.76 cm (6.6 inch)
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)(4 GB RAM)","₹6,499",4.2,"2,690 Reviews",Jade Purple,16.51 cm (6.5 inch)
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)(4 GB RAM)","₹9,199",4.3,"9,973 Reviews",Nightsky Green,16.76 cm (6.6 inch)
"SAMSUNG Original 25W, Type C Power Adaptor compatible for all Samsung Devices (Super Fast Charge 3.0)(White)","₹1,299",4.4,"6,606 Reviews",Travel Adapter (EP-TA800),Samsung phones
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)(6 GB RAM)","₹12,490",4.2,"2,986 Reviews",B.A.E. Purple,16.76 cm (6.6 inch)
SAMSUNG Guru Music 2(Black),"₹2,832",4.3,"19,158 Reviews",Black,Yes
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)(6 GB RAM)","₹13,484",4.2,294 Reviews,Smoky Teal,"Data Cable (USB TypeC to C), Ejection Pin, User Manual"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)(6 GB RAM)","₹12,490",4.2,"2,986 Reviews",OMG Black,16.76 cm (6.6 inch)
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)(4 GB RAM)","₹10,199",4.3,"9,973 Reviews",Waterfall Blue,16.76 cm (6.6 inch)
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)(4 GB RAM)","₹10,199",4.3,"9,973 Reviews",Nightsky Green,16.76 cm (6.6 inch)
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)(6 GB RAM)","₹16,499",4.2,457 Reviews,Electric Black,Yes
SAMSUNG Guru Music 2(Gold),"₹2,880",4.3,"19,158 Reviews",Gold,5.08 cm (2 inch)
"SAMSUNG Galaxy M04 (Light Green, 64 GB)(4 GB RAM)","₹7,112",4.1,410 Reviews,Light Green,16.51 cm (6.5 inch)
SAMSUNG Guru Music 2(Gold),"₹2,880",4.3,"19,158 Reviews",Gold,5.08 cm (2 inch)
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)(6 GB RAM)","₹13,965",4.2,294 Reviews,Icy Silver,"?Type-C Data Cable, Quick Start Guide, Sim Ejection Pin"
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)(8 GB RAM)","₹18,499",4.2,136 Reviews,Electric Black,Yes
